timestamp;motion;voltage;illuminace
2021-10-23T12:14:40.679645;465;7.53;622.82
2021-10-23T12:14:40.696436;381;7.53;622.82
2021-10-23T12:14:40.722081;381;7.53;622.82
2021-10-23T12:14:41.226903;381;7.53;622.82
2021-10-23T12:14:41.255705;381;7.53;622.82
2021-10-23T12:14:41.424734;381;7.41;622.82
2021-10-23T12:14:41.453285;381;7.41;622.82
2021-10-23T12:14:42.329290;381;7.41;622.82
2021-10-23T12:14:42.345899;381;7.41;622.82
2021-10-23T12:14:42.673693;381;7.41;622.82
2021-10-23T12:14:42.679606;381;7.41;618.92
2021-10-23T12:14:42.683745;381;7.41;618.92
2021-10-23T12:14:42.688134;381;7.41;618.92
2021-10-23T12:14:42.690251;381;7.41;618.92
2021-10-23T12:14:42.694860;381;7.41;618.92
2021-10-23T12:14:42.706186;339;7.41;618.92
2021-10-23T12:14:42.750646;339;7.41;618.92
2021-10-23T12:14:43.565577;339;7.34;618.92
2021-10-23T12:14:43.592672;339;7.34;618.92
2021-10-23T12:14:44.329313;339;7.34;618.92
2021-10-23T12:14:44.345105;339;7.34;618.92
2021-10-23T12:14:44.399308;339;7.34;619.7
2021-10-23T12:14:44.432774;339;7.34;619.7
2021-10-23T12:14:44.454874;386;7.34;619.7
2021-10-23T12:14:44.467843;386;7.34;619.7
2021-10-23T12:14:45.108834;386;7.7;619.7
2021-10-23T12:14:45.191656;386;7.7;619.7
2021-10-23T12:14:45.542176;386;7.7;619.7
2021-10-23T12:14:45.569911;386;7.7;619.7
2021-10-23T12:14:46.882457;386;7.7;619.7
2021-10-23T12:14:46.897332;386;7.7;619.7
2021-10-23T12:14:46.907574;386;7.7;605.65
2021-10-23T12:14:46.916038;386;7.7;605.65
2021-10-23T12:14:46.918193;386;7.7;605.65
2021-10-23T12:14:46.925046;386;7.7;605.65
2021-10-23T12:14:46.999214;386;7.3;605.65
2021-10-23T12:14:47.040888;386;7.3;605.65
2021-10-23T12:14:47.070092;569;7.3;605.65
2021-10-23T12:14:47.131582;569;7.3;605.65
2021-10-23T12:14:47.289015;569;7.3;605.65
2021-10-23T12:14:47.331314;569;7.3;605.65
2021-10-23T12:14:48.022194;569;7.3;605.65
2021-10-23T12:14:48.053048;569;7.3;595.51
2021-10-23T12:14:48.087732;569;7.3;595.51
2021-10-23T12:14:48.119077;467;7.3;595.51
2021-10-23T12:14:48.130015;467;7.3;595.51
2021-10-23T12:14:48.194644;467;7.3;595.51
2021-10-23T12:14:48.737145;467;7.3;595.51
2021-10-23T12:14:48.782629;467;7.3;595.51
2021-10-23T12:14:48.948476;467;7.35;595.51
2021-10-23T12:14:48.964776;467;7.35;595.51
2021-10-23T12:14:49.672063;467;7.35;595.51
2021-10-23T12:14:49.681036;467;7.35;595.51
2021-10-23T12:14:49.717972;467;7.35;589.26
2021-10-23T12:14:49.735600;467;7.35;589.26
2021-10-23T12:14:49.742642;467;7.35;589.26
2021-10-23T12:14:49.752833;467;7.35;589.26
2021-10-23T12:14:49.820750;304;7.35;589.26
2021-10-23T12:14:49.837126;304;7.35;589.26
2021-10-23T12:14:50.756139;304;7.35;589.26
2021-10-23T12:14:50.807327;304;7.35;589.26
2021-10-23T12:14:50.880135;304;7.46;589.26
2021-10-23T12:14:50.921800;304;7.46;589.26
2021-10-23T12:14:51.342232;304;7.46;589.26
2021-10-23T12:14:51.359850;304;7.46;590.04
2021-10-23T12:14:51.386264;304;7.46;590.04
2021-10-23T12:14:51.422287;304;7.46;590.04
2021-10-23T12:14:51.424147;304;7.46;590.04
2021-10-23T12:14:51.451744;204;7.46;590.04
2021-10-23T12:14:51.453511;204;7.46;590.04
2021-10-23T12:14:51.512704;204;7.46;590.04
2021-10-23T12:14:52.185561;204;7.46;590.04
2021-10-23T12:14:52.248926;204;7.46;590.04
2021-10-23T12:14:52.782813;204;7.46;590.04
2021-10-23T12:14:52.810164;204;7.46;590.04
2021-10-23T12:14:53.091283;204;7.52;590.04
2021-10-23T12:14:53.173149;204;7.52;590.04
2021-10-23T12:14:53.269509;204;7.52;590.04
2021-10-23T12:14:53.320142;204;7.52;601.75
2021-10-23T12:14:53.367712;628;7.52;601.75
2021-10-23T12:14:53.474568;628;7.52;601.75
2021-10-23T12:14:53.523188;628;7.52;601.75
2021-10-23T12:14:53.539447;628;7.52;601.75
2021-10-23T12:14:54.601384;628;7.41;601.75
2021-10-23T12:14:54.635992;628;7.41;601.75
2021-10-23T12:14:55.161087;628;7.41;601.75
2021-10-23T12:14:55.185462;628;7.41;618.14
2021-10-23T12:14:55.194907;628;7.41;618.14
2021-10-23T12:14:55.218172;628;7.41;618.14
2021-10-23T12:14:55.239289;628;7.41;618.14
2021-10-23T12:14:55.245097;628;7.41;618.14
2021-10-23T12:14:55.264626;407;7.41;618.14
2021-10-23T12:14:55.310308;407;7.41;618.14
2021-10-23T12:14:56.635809;407;7.19;618.14
2021-10-23T12:14:56.696149;407;7.19;618.14
2021-10-23T12:14:57.139834;407;7.19;618.14
2021-10-23T12:14:57.159194;407;7.19;626.73
2021-10-23T12:14:57.184324;271;7.19;626.73
2021-10-23T12:14:57.196943;271;7.19;626.73
2021-10-23T12:14:57.239108;271;7.19;626.73
2021-10-23T12:14:57.263565;271;7.19;626.73
2021-10-23T12:14:57.691570;271;7.19;626.73
2021-10-23T12:14:57.751358;271;7.19;626.73
2021-10-23T12:14:58.614680;271;7.43;626.73
2021-10-23T12:14:58.668213;271;7.43;626.73
2021-10-23T12:14:58.909839;271;7.43;626.73
2021-10-23T12:14:58.923630;271;7.43;626.73
2021-10-23T12:14:58.932597;271;7.43;628.29
2021-10-23T12:14:58.937325;271;7.43;628.29
2021-10-23T12:14:58.942062;271;7.43;628.29
2021-10-23T12:14:58.944492;271;7.43;628.29
2021-10-23T12:14:59.010559;183;7.43;628.29
2021-10-23T12:14:59.017155;183;7.43;628.29
2021-10-23T12:14:59.524680;183;7.43;628.29
2021-10-23T12:14:59.573287;183;7.43;628.29
2021-10-23T12:15:00.030920;183;7.43;628.29
2021-10-23T12:15:00.061970;183;7.43;619.31
2021-10-23T12:15:00.063898;183;7.43;619.31
2021-10-23T12:15:00.128295;152;7.43;619.31
2021-10-23T12:15:00.130923;152;7.43;619.31
2021-10-23T12:15:00.157788;152;7.43;619.31
2021-10-23T12:15:00.614969;152;7.88;619.31
2021-10-23T12:15:00.658694;152;7.88;619.31
2021-10-23T12:15:01.012472;152;7.88;619.31
2021-10-23T12:15:01.020609;152;7.88;619.31
2021-10-23T12:15:02.079698;152;7.88;619.31
2021-10-23T12:15:02.133247;152;7.88;619.31
2021-10-23T12:15:02.753262;152;7.4;619.31
2021-10-23T12:15:02.777844;152;7.4;619.31
2021-10-23T12:15:02.915580;152;7.4;619.31
2021-10-23T12:15:02.925434;152;7.4;621.26
2021-10-23T12:15:02.933372;152;7.4;621.26
2021-10-23T12:15:02.977422;335;7.4;621.26
2021-10-23T12:15:02.986126;335;7.4;621.26
2021-10-23T12:15:02.996575;335;7.4;621.26
2021-10-23T12:15:03.017471;335;7.4;621.26
2021-10-23T12:15:03.054820;335;7.4;621.26
2021-10-23T12:15:04.258276;335;7.4;621.26
2021-10-23T12:15:04.289249;335;7.4;626.34
2021-10-23T12:15:04.302604;335;7.4;626.34
2021-10-23T12:15:04.304441;335;7.4;626.34
2021-10-23T12:15:04.325926;335;7.4;626.34
2021-10-23T12:15:04.329250;335;7.4;626.34
2021-10-23T12:15:04.346076;247;7.4;626.34
2021-10-23T12:15:04.350399;247;7.4;626.34
2021-10-23T12:15:04.721306;247;7.46;626.34
2021-10-23T12:15:04.764617;247;7.46;626.34
2021-10-23T12:15:05.724154;247;7.46;626.34
2021-10-23T12:15:05.728404;247;7.46;626.34
2021-10-23T12:15:05.745330;247;7.46;620.09
2021-10-23T12:15:05.751859;247;7.46;620.09
2021-10-23T12:15:05.840446;188;7.46;620.09
2021-10-23T12:15:05.879457;188;7.46;620.09
