[2021-10-23T12:09:06.774414] data: motion: 276, sound: 66.15, illuminace: 528.39, temperature: 25.44
[2021-10-23T12:09:06.814780] data: motion: 276, sound: 66.15, illuminace: 528.39, temperature: 25.44
[2021-10-23T12:09:07.194214] data: motion: 276, sound: 71.99, illuminace: 528.39, temperature: 25.44
[2021-10-23T12:09:07.251921] data: motion: 276, sound: 71.99, illuminace: 528.39, temperature: 25.44
[2021-10-23T12:09:07.332883] data: motion: 276, sound: 71.99, illuminace: 526.82, temperature: 25.44
[2021-10-23T12:09:07.381141] data: motion: 184, sound: 71.99, illuminace: 526.82, temperature: 25.44
[2021-10-23T12:09:07.403784] data: motion: 184, sound: 71.99, illuminace: 526.82, temperature: 25.44
[2021-10-23T12:09:07.444020] data: motion: 184, sound: 71.99, illuminace: 526.82, temperature: 25.44
[2021-10-23T12:09:08.984687] data: motion: 184, sound: 71.99, illuminace: 526.82, temperature: 25.44
[2021-10-23T12:09:09.048580] data: motion: 184, sound: 71.99, illuminace: 526.82, temperature: 25.44
[2021-10-23T12:09:09.202520] data: motion: 184, sound: 71.99, illuminace: 526.82, temperature: 25.45
[2021-10-23T12:09:09.319481] data: motion: 184, sound: 71.99, illuminace: 526.82, temperature: 25.45
[2021-10-23T12:09:09.809869] data: motion: 184, sound: 68.25, illuminace: 526.82, temperature: 25.45
[2021-10-23T12:09:09.815820] data: motion: 184, sound: 68.25, illuminace: 526.82, temperature: 25.45
[2021-10-23T12:09:09.849348] data: motion: 184, sound: 68.25, illuminace: 523.31, temperature: 25.45
[2021-10-23T12:09:09.852669] data: motion: 184, sound: 68.25, illuminace: 523.31, temperature: 25.45
[2021-10-23T12:09:09.858903] data: motion: 184, sound: 68.25, illuminace: 523.31, temperature: 25.45
[2021-10-23T12:09:09.868947] data: motion: 184, sound: 68.25, illuminace: 523.31, temperature: 25.45
[2021-10-23T12:09:09.925499] data: motion: 222, sound: 68.25, illuminace: 523.31, temperature: 25.45
[2021-10-23T12:09:09.932215] data: motion: 222, sound: 68.25, illuminace: 523.31, temperature: 25.45
[2021-10-23T12:09:10.493629] data: motion: 222, sound: 68.25, illuminace: 523.31, temperature: 25.45
[2021-10-23T12:09:10.520509] data: motion: 222, sound: 68.25, illuminace: 523.31, temperature: 25.45
[2021-10-23T12:09:10.579392] data: motion: 222, sound: 71.29, illuminace: 523.31, temperature: 25.45
[2021-10-23T12:09:10.607941] data: motion: 222, sound: 71.29, illuminace: 581.46, temperature: 25.45
[2021-10-23T12:09:10.612926] data: motion: 222, sound: 71.29, illuminace: 581.46, temperature: 25.45
[2021-10-23T12:09:10.634188] data: motion: 222, sound: 71.29, illuminace: 581.46, temperature: 25.45
[2021-10-23T12:09:10.649098] data: motion: 191, sound: 71.29, illuminace: 581.46, temperature: 25.45
[2021-10-23T12:09:10.691861] data: motion: 191, sound: 71.29, illuminace: 581.46, temperature: 25.45
[2021-10-23T12:09:11.871354] data: motion: 191, sound: 71.29, illuminace: 581.46, temperature: 25.44
[2021-10-23T12:09:11.879083] data: motion: 191, sound: 71.29, illuminace: 581.46, temperature: 25.44
[2021-10-23T12:09:12.222959] data: motion: 191, sound: 74.27, illuminace: 581.46, temperature: 25.44
[2021-10-23T12:09:12.253204] data: motion: 191, sound: 74.27, illuminace: 581.46, temperature: 25.44
[2021-10-23T12:09:12.273456] data: motion: 191, sound: 74.27, illuminace: 525.26, temperature: 25.44
[2021-10-23T12:09:12.284925] data: motion: 191, sound: 74.27, illuminace: 525.26, temperature: 25.44
[2021-10-23T12:09:12.310294] data: motion: 191, sound: 74.27, illuminace: 525.26, temperature: 25.44
[2021-10-23T12:09:12.327370] data: motion: 191, sound: 74.27, illuminace: 525.26, temperature: 25.44
[2021-10-23T12:09:12.361450] data: motion: 678, sound: 74.27, illuminace: 525.26, temperature: 25.44
[2021-10-23T12:09:12.414811] data: motion: 678, sound: 74.27, illuminace: 525.26, temperature: 25.44
[2021-10-23T12:09:12.487205] data: motion: 678, sound: 74.27, illuminace: 525.26, temperature: 25.44
[2021-10-23T12:09:12.504565] data: motion: 678, sound: 74.27, illuminace: 525.26, temperature: 25.44
[2021-10-23T12:09:14.440936] data: motion: 678, sound: 74.27, illuminace: 525.26, temperature: 25.44
[2021-10-23T12:09:14.454545] data: motion: 678, sound: 74.27, illuminace: 525.26, temperature: 25.44
